"name","stream_id","category_id"
" ATV: Novelas Turcas","1120","1"
"A&E","5","1"
"A&E HD","8","32"
"A+","9","12"
"A24","1163","11"
"A3Cine","14","28"
"A3Series","17","28"
"ADN 40","20","6"
"Aguacate TV | Venezuela","1087","11"
"Al Jazeera","27","4"
"Alcance TV | Venezuela","1086","29"
"Alf 24/7","28","9"
"AMC","29","1"
"AMC (ES)","32","28"
"AMC HD","33","32"
"America | Argentina","1068","11"
"America TV | Peru","35","11"
"Animal Planet","41","5"
"Animal Planet HD","42","32"
"Animaniacs 24/7","43","9"
"Antena 3","45","28"
"ATV | Peru","1063","11"
"AXN","54","1"
"AXN HD","58","32"
"AXN HD (ES)","59","28"
"AXN WHITE HD (ES)","61","28"
"AyM Sports","62","4"
"Az Cinema","63","3"
"Az Clic","64","1"
"AZ Corazon","66","1"
"Az Corazón HD","68","32"
"Azteca 7","72","12"
"Azteca 7 HD","74","32"
"Azteca Guate","1098","11"
"Azteca Uno","76","12"
"Azteca Uno HD","78","32"
"Baby TV","79","2"
"Bandamax","83","7"
"Bandamax HD","84","32"
"Bayblade 24/7","85","9"
"BeinSports","88","4"
"BeinSports HD","89","32"
"BeinSports Ñ","90","4"
"BeinSports Ñ HD","91","32"
"BitMe","92","1"
"Bob Esponja 24/7","96","9"
"Breaking Bad 24/7","98","9"
"C5N","1162","11"
"Caballeros del Zodiaco 24/7","100","9"
"Calabozos y Dragones 24/7","103","9"
"Canal 10 | Nicaragua","1076","11"
"Canal 12 | El Salvador","1083","11"
"Canal 2 | El Salvador","1078","11"
"Canal 2 | Nicaragua","1075","11"
"Canal 3 | El Salvador","1080","11"
"Canal 4 | El Salvador","1081","11"
"Canal 5","106","12"
"Canal 5 HD","108","32"
"Canal 5 Honduras","109","11"
"Canal 6 | Costa Rica","1084","11"
"Canal 6 | El Salvador","1082","11"
"Canal de las Estrellas","114","12"
"Canal de las Estrellas HD","118","200"
"Canal N | Peru","1065","11"
